address	function	mnemonic	instruction	old_bytes	disp_offset	veh_offset	disp_value
0040b181	garrison_click(int,int,int,int)	MOV	MOV CL,byte ptr [EDX*0x4 + 0x952836]	8A 0C 95 36 28 95 00	3	0xE	0x952836
0040b202	garrison_click(int,int,int,int)	MOV	MOV DL,byte ptr [ECX + 0x952839]	8A 91 39 28 95 00	2	0x11	0x952839
0040b210	garrison_click(int,int,int,int)	TEST	TEST dword ptr [ECX + 0x95282c],0x8004200	F7 81 2C 28 95 00 00 42 00 08	2	0x4	0x95282C
0040b2bd	garrison_click(int,int,int,int)	MOVSX	MOVSX ECX,word ptr [EAX + 0x95282a]	0F BF 88 2A 28 95 00	3	0x2	0x95282A
0040b2c4	garrison_click(int,int,int,int)	MOVSX	MOVSX EDX,word ptr [EAX + 0x952828]	0F BF 90 28 28 95 00	3	0x0	0x952828
0040b3f2	garrison_click(int,int,int,int)	MOV	MOV byte ptr [EAX + 0x952839],0x0	C6 80 39 28 95 00 00	2	0x11	0x952839
0040b3f9	garrison_click(int,int,int,int)	MOV	MOV EDX,dword ptr [EAX + 0x95282c]	8B 90 2C 28 95 00	2	0x4	0x95282C
0040b405	garrison_click(int,int,int,int)	MOV	MOV dword ptr [EAX + 0x95282c],EDX	89 90 2C 28 95 00	2	0x4	0x95282C
0040b4bf	garrison_click(int,int,int,int)	MOVSX	MOVSX ECX,word ptr [EAX + 0x95282a]	0F BF 88 2A 28 95 00	3	0x2	0x95282A
0040b4c6	garrison_click(int,int,int,int)	MOVSX	MOVSX EDX,word ptr [EAX + 0x952828]	0F BF 90 28 28 95 00	3	0x0	0x952828
0040b5d4	garrison_click(int,int,int,int)	MOV	MOV AL,byte ptr [EDX*0x4 + 0x952836]	8A 04 95 36 28 95 00	3	0xE	0x952836
0040b5fb	garrison_click(int,int,int,int)	MOV	MOV CL,byte ptr [EAX + 0x952839]	8A 88 39 28 95 00	2	0x11	0x952839
0040b605	garrison_click(int,int,int,int)	MOV	MOV ECX,dword ptr [EAX + 0x95282c]	8B 88 2C 28 95 00	2	0x4	0x95282C
0040b62e	garrison_click(int,int,int,int)	MOV	MOV CL,byte ptr [EAX + 0x95283b]	8A 88 3B 28 95 00	2	0x13	0x95283B
0040b634	garrison_click(int,int,int,int)	MOV	MOV DL,byte ptr [EAX + 0x95283a]	8A 90 3A 28 95 00	2	0x12	0x95283A
0040b739	garrison_click(int,int,int,int)	MOV	MOV CX,word ptr [ECX*0x4 + 0x952856]	66 8B 0C 8D 56 28 95 00	4	0x2E	0x952856
0040b784	garrison_click(int,int,int,int)	CMP	CMP CL,byte ptr [EAX*0x4 + 0x952836]	3A 0C 85 36 28 95 00	3	0xE	0x952836
0040b7e9	garrison_click(int,int,int,int)	MOVSX	MOVSX EDX,word ptr [ECX + 0x952856]	0F BF 91 56 28 95 00	3	0x2E	0x952856
0040b7fe	garrison_click(int,int,int,int)	MOV	MOV SI,word ptr [ECX + 0x952828]	66 8B B1 28 28 95 00	3	0x0	0x952828
0040b80d	garrison_click(int,int,int,int)	MOV	MOV DX,word ptr [ECX + 0x95282a]	66 8B 91 2A 28 95 00	3	0x2	0x95282A
0040b81e	garrison_click(int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x95282a]	0F BF 81 2A 28 95 00	3	0x2	0x95282A
0040b85e	garrison_click(int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x952832]	0F BF 81 32 28 95 00	3	0xA	0x952832
0040b963	garrison_click(int,int,int,int)	MOV	MOV BL,byte ptr [EDX + 0x952836]	8A 9A 36 28 95 00	2	0xE	0x952836
0040ba2e	garrison_click(int,int,int,int)	MOV	MOV byte ptr [ECX*0x4 + 0x952839],0x0	C6 04 8D 39 28 95 00 00	3	0x11	0x952839
0040ba61	garrison_click(int,int,int,int)	MOV	MOV byte ptr [EAX + 0x952839],0x0	C6 80 39 28 95 00 00	2	0x11	0x952839
0040ba68	garrison_click(int,int,int,int)	MOV	MOV EDX,dword ptr [EAX + 0x95282c]	8B 90 2C 28 95 00	2	0x4	0x95282C
0040ba74	garrison_click(int,int,int,int)	MOV	MOV dword ptr [EAX + 0x95282c],EDX	89 90 2C 28 95 00	2	0x4	0x95282C
0040bb31	garrison_click(int,int,int,int)	MOVSX	MOVSX ECX,word ptr [EAX + 0x95282a]	0F BF 88 2A 28 95 00	3	0x2	0x95282A
0040bb38	garrison_click(int,int,int,int)	MOVSX	MOVSX EDX,word ptr [EAX + 0x952828]	0F BF 90 28 28 95 00	3	0x0	0x952828
0040bc66	garrison_click(int,int,int,int)	MOV	MOV word ptr [EDX + 0x952856],CX	66 89 8A 56 28 95 00	3	0x2E	0x952856
0040bc87	garrison_click(int,int,int,int)	MOVSX	MOVSX ECX,word ptr [EAX*0x4 + 0x952856]	0F BF 0C 85 56 28 95 00	4	0x2E	0x952856
0040bcfc	garrison_click(int,int,int,int)	MOV	MOV byte ptr [EDX*0x4 + 0x952839],0x2	C6 04 95 39 28 95 00 02	3	0x11	0x952839
0040bd80	garrison_click(int,int,int,int)	MOV	MOV ESI,dword ptr [EAX + 0x95282c]	8B B0 2C 28 95 00	2	0x4	0x95282C
0040bd8c	garrison_click(int,int,int,int)	MOV	MOV dword ptr [EAX + 0x95282c],ESI	89 B0 2C 28 95 00	2	0x4	0x95282C
0040bd92	garrison_click(int,int,int,int)	MOV	MOV byte ptr [EAX + 0x952839],0x18	C6 80 39 28 95 00 18	2	0x11	0x952839
0040bd99	garrison_click(int,int,int,int)	MOVSX	MOVSX ECX,word ptr [EAX + 0x952856]	0F BF 88 56 28 95 00	3	0x2E	0x952856
0040bdb1	garrison_click(int,int,int,int)	MOV	MOV word ptr [EAX + 0x95283c],CX	66 89 88 3C 28 95 00	3	0x14	0x95283C
0040bdb8	garrison_click(int,int,int,int)	MOVSX	MOVSX ECX,word ptr [EAX + 0x952856]	0F BF 88 56 28 95 00	3	0x2E	0x952856
0040bdd0	garrison_click(int,int,int,int)	MOV	MOV word ptr [EAX + 0x952844],CX	66 89 88 44 28 95 00	3	0x1C	0x952844
0040be12	garrison_click(int,int,int,int)	MOVSX	MOVSX ECX,word ptr [EAX + 0x95282a]	0F BF 88 2A 28 95 00	3	0x2	0x95282A
0040be19	garrison_click(int,int,int,int)	MOVSX	MOVSX EDX,word ptr [EAX + 0x952828]	0F BF 90 28 28 95 00	3	0x0	0x952828
0040be3e	garrison_click(int,int,int,int)	MOVSX	MOVSX EDX,word ptr [EAX + 0x95282a]	0F BF 90 2A 28 95 00	3	0x2	0x95282A
0040be45	garrison_click(int,int,int,int)	MOVSX	MOVSX EAX,word ptr [EAX + 0x952828]	0F BF 80 28 28 95 00	3	0x0	0x952828
0040cb3b	draw_supported(int)	MOV	MOV EAX,0x952856	B8 56 28 95 00	1	0x2E	0x952856
0040ccd8	draw_supported(int)	MOV	MOV dword ptr [EBP + -0x10],0x95282c	C7 45 F0 2C 28 95 00	3	0x4	0x95282C
